,Unnamed: 0,path_image,character,comfort,UV,hu0,hu1,hu2,hu3,hu4,hu5,hu6,hu0_testa,hu1_testa,hu2_testa,hu3_testa,hu4_testa,hu5_testa,hu6_testa,hu0_olhos,hu1_olhos,hu2_olhos,hu3_olhos,hu4_olhos,hu5_olhos,hu6_olhos,hu0_nariz,hu1_nariz,hu2_nariz,hu3_nariz,hu4_nariz,hu5_nariz,hu6_nariz,hu0_boca,hu1_boca,hu2_boca,hu3_boca,hu4_boca,hu5_boca,hu6_boca,hu0_queixo,hu1_queixo,hu2_queixo,hu3_queixo,hu4_queixo,hu5_queixo,hu6_queixo
1217,1217,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000157.bmp,3,68.91,0,2.850716575457571,8.55016043321567,11.068495408029548,10.578985042091524,22.427119482718705,-15.108540448916044,-21.40467472515685,2.3676664762721895,4.792147598527672,7.740932376421734,7.748969751820708,15.493924600453306,10.146781662818766,17.873294958310687,2.7925262870041125,5.865256981296926,10.058645316401927,10.460386894339528,20.834161569024964,13.39878152037379,20.913965781002492,2.669438491013689,5.4410609517555795,9.994403842387774,10.076572214666907,20.11224851480955,12.807817469663577,-21.643139105664023,2.618589729375509,5.344171030496375,9.26199613613865,10.035447522704512,20.28408320185133,-13.216101205591263,19.69832754702883,2.716175301876552,5.563967351387726,9.40601084043813,10.450689824714459,-20.435502257943877,-13.251845297603131,20.69915847964567
1218,1218,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000161.bmp,3,68.91,0,2.851523042907832,8.781783056816368,11.140518946750964,10.82001227924928,-23.30787641437537,-15.466874972104671,-21.800487673676702,2.3589016972333336,4.775516205004028,7.772533324532266,7.772065519544374,15.54437256268314,10.162390795257725,17.771737067110482,2.78653382150377,5.844341799073359,10.017278654799162,10.375558494097023,20.66827678459274,13.30319943932217,20.79491504388819,2.661805618744829,5.423529818106091,9.88816791576468,9.968527610917855,19.89702885643849,12.685738235750273,-21.472300289985238,2.618670021925835,5.346394587006448,9.254193538221111,9.981397218029702,19.991010831623274,-13.437225436492808,19.638238829519114,2.7123950706722653,5.552772841561276,9.404058333101608,10.33190789829972,-21.111945944141162,-13.42000017938623,20.20317136774599
1219,1219,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000164.bmp,3,68.91,0,2.850507122897985,8.8438815098794,11.152701834365514,10.990643651767934,-23.079682958262776,-15.685055053458916,-22.064330274477943,2.354317048728095,4.765772966851113,7.75554594185057,7.756709209456615,15.512842835376055,10.142113878819133,17.790329739111794,2.7840361226444856,5.836509029131757,10.004659116306684,10.319632369358985,20.574202788938987,13.24552643335424,20.71183698729368,2.6638236268805553,5.430156308315451,10.046305795294964,10.101349129869197,20.175590464298583,12.821369920819983,-21.535327710571494,2.6031315591408934,5.306872695434114,9.18507990116991,9.894254595424444,19.766640247662096,-13.546378439778893,19.48677889085436,2.7088480820105447,5.542884136180427,9.414730346327353,10.401246803221447,-20.619148368481,-13.302531676412613,20.368822704921275
1220,1220,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000167.bmp,3,68.91,0,2.85148577791486,8.942946667191665,11.154589322031583,11.15537099591184,-22.7513136080668,-15.843532102417967,-22.34090191669234,2.3160719230440123,4.680762461609802,7.610061999303088,7.611896538288508,15.222879290468107,9.954204267228505,17.62025404266006,2.7902808913597066,5.865766484663218,10.094673211728146,10.40151432840243,20.79449616563724,13.351946335985781,20.80589972519176,2.650217589579686,5.398191118099389,9.971017694808674,10.056644862236041,20.070638490119936,12.76099649842096,-21.63370917567942,2.6126254642756637,5.331384415285497,9.178759067490626,9.984508966272067,20.478273489373084,-13.051937139916083,19.569422186738443,2.6857838882687397,5.48551325445603,9.29884695917822,10.123196790092061,20.34799128235026,-13.630713685990095,19.85561967832329
1221,1221,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000170.bmp,3,68.91,0,2.8522966127011222,8.932724227536491,11.186647399551124,11.296183418459352,-22.86116518680285,-15.963017456303335,-22.593047478521957,2.3198322339901067,4.689189683235681,7.620241942937553,7.622908817749386,15.244487787519896,9.969447173893416,17.635350585561593,2.7863813190933047,5.856878635547563,9.9502301328721,10.256731430896624,20.459537070717737,13.197845276867257,20.577833114003738,2.6617285444226457,5.426614202943235,10.097136270599753,10.160208398963231,20.28935141792159,12.878774496069804,-21.621128391770508,2.615091566664013,5.337973611856176,9.184097860439111,9.971313240412409,20.243338565119103,-13.116811665350212,19.558079111857232,2.6840625554121735,5.482247795971534,9.273837926309497,10.154421717555508,21.029195990644745,-13.333309448201133,19.869590272015962
1222,1222,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000172.bmp,3,68.91,0,2.8524205874510318,8.970410288109914,11.180459260885495,11.373967792535788,-22.955982678592285,-16.068073297664498,-22.712407982804308,2.315761443478932,4.680618131142927,7.60644322182092,7.60992719336871,15.218115715317532,9.952212579857042,17.626291769100288,2.791294312478423,5.87084035200491,10.095185328791816,10.386308187642765,20.774393251011976,13.34177088763613,20.780793799693537,2.65424987016763,5.410206491085117,10.141045528331192,10.180401961719769,20.341747371201418,12.889075006286243,-21.61303560404798,2.6064992326334453,5.314224365723206,9.181845600756098,9.9748174071165,20.333567462520108,-13.099678731306641,19.55920170581097,2.7162896475610223,5.568312205914165,9.39942870013449,10.290813721076638,21.085650697929918,-13.540645357087294,20.13868963335452
1223,1223,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000176.bmp,3,68.91,0,2.852761247986748,8.959077361607129,11.197203803742507,11.562777144693223,-23.075969168857668,-16.15389557917256,-23.112097027207533,2.3199875505117014,4.691807319856511,7.693691608994892,7.688469257208885,15.379557950521402,10.037133601638104,17.58943541741652,2.782119745961931,5.8383990603266565,10.0865832887961,10.43880250159959,20.833462215847067,13.371492065932227,20.872292142061276,2.6607708007218793,5.42533663651386,10.068603399231176,10.104226340310225,20.191204630606535,12.819818984784037,-21.483883685030744,2.606620922726047,5.3171263005368425,9.182656993375058,9.893151728255436,19.77011693741176,-13.613836209944663,19.482197244294568,2.7253776361406863,5.592722064072855,9.355070435167496,10.279662010258331,-21.867571444666666,-13.428890174217436,20.097090711438856
1224,1224,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000177.bmp,3,68.91,0,2.852602874998186,8.986405470592656,11.198619746533804,11.559080788064394,-23.084028263072927,-16.178175067999405,-23.092955591644056,2.3206501356531923,4.693146209753211,7.693905328112366,7.688715786775072,15.38003439240069,10.03807039868596,17.595558634384638,2.782035703235847,5.838213980889865,10.078987492852118,10.432795668122933,20.81887615813845,13.365511561685802,20.86162931438589,2.648892392551665,5.396853770123879,10.43438437470366,10.392692125229887,20.808319595353844,13.097692586100269,-21.81565920189007,2.613168538473017,5.332917202636006,9.176593399810816,9.846955842136365,19.607920280134273,14.048241816362141,19.441650446742205,2.7149026692385014,5.565274446121395,9.3451747504691,10.187007906392108,20.470725531810675,-13.71213980624435,19.974104982778393
1225,1225,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000182.bmp,3,68.91,0,2.853955349276556,8.998579134966022,11.17305278172899,11.740456740295585,-23.21603307748905,-16.270785721736818,-23.737603481972368,2.3212762608685735,4.694728900045813,7.69198074837077,7.686976141804597,15.376462303520844,10.037024104110968,17.601121804935804,2.7824084979107875,5.840581176026318,10.083620208535747,10.430957177316985,20.82288724318339,13.368949791462441,20.855887029732823,2.6507356282486545,5.40170071730846,10.474396549967206,10.448413764566615,20.912161888901412,13.15839368637008,-21.894483417694182,2.603705292328942,5.311640405798393,9.188922826254657,9.915012872295282,19.861347012135685,-13.44362333269111,19.50552850596458,2.7312310585986004,5.60859349702561,9.344495542483768,10.258293014981529,21.553144876511872,-13.461015598983032,20.059911198324176
1226,1226,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000188.bmp,3,68.91,0,2.856043478590778,9.123197315248628,11.214570394679038,11.978058842530922,-23.9906554160893,-16.597388859546395,23.608909179921508,2.3040590149028746,4.656361978337376,7.54731717054692,7.551704955267565,15.101218779524602,9.882035515854252,17.549033844376996,2.781421361691874,5.843285512241571,10.183208974101401,10.426027071123146,20.907632878117205,13.375140471887459,20.85756678156398,2.656976023745159,5.416106116693255,9.889388090750682,9.976971599204088,19.91034946213202,12.687726321150098,-21.430275322785118,2.5992948673989877,5.30751711148271,9.169111093260765,10.088091780243413,-19.996829796374723,-12.83944987636095,19.786599012617646,2.7309275555116375,5.605545059033677,9.397777362868831,10.318615838216985,21.79766381817694,-13.49904131426706,20.176936940680996
1227,1227,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000189.bmp,3,68.91,0,2.855979259797373,9.044070567464606,11.180251531297658,12.012238158016478,24.678949836641063,-16.70186803872871,23.61005841816149,2.3051465309065207,4.658420321789523,7.552204201341641,7.556125019571534,15.110291944503505,9.887212565180397,17.596441662117122,2.7805103338092048,5.840030952808693,10.172079818568152,10.40785291921184,20.86409992726713,13.351644436667586,20.833636212684773,2.6618916216379658,5.4291752302826435,10.139127704264448,10.17380297555715,20.330954101661376,12.890986764278741,-21.580893907417853,2.612981000020226,5.34092515719361,9.142758129704498,9.95904187348861,20.601407497108966,-13.023896198979228,19.51137159843657,2.7236178743153436,5.5876250478168235,9.289701586860561,10.10794980483739,20.1991239593012,-13.914578644175425,19.845717435022614
